M5 Raw CSV Pipeline Run — 2026-03-22T21:51:24.848918
============================================================
Running data cleaning pipeline...
  Cleaned calendar: 1,969 rows
  Cleaned sales: 3,049 rows
  Cleaned prices: 6,841,121 rows

Step 1: Loaded 4,702,895 records, 3049 SKUs
  Date range: 2011-01-29 → 2016-04-24

Step 2: Feature engineering → 4,702,895 records, 14 features

Step 3: Trained 3049/3049 models
  CA_1_FOODS_2_065: MAE=1.54, RMSE=2.11, R²=-0.039
  CA_1_FOODS_2_066: MAE=0.59, RMSE=0.77, R²=-0.010
  CA_1_FOODS_2_067: MAE=0.81, RMSE=1.20, R²=0.240
  CA_1_FOODS_2_068: MAE=0.37, RMSE=0.50, R²=-0.001
  CA_1_FOODS_2_069: MAE=0.61, RMSE=0.77, R²=0.032
  CA_1_FOODS_2_070: MAE=0.64, RMSE=0.93, R²=0.125
  CA_1_FOODS_2_071: MAE=0.84, RMSE=1.31, R²=-0.091
  CA_1_FOODS_2_072: MAE=0.83, RMSE=1.05, R²=-0.028
  CA_1_FOODS_2_073: MAE=0.45, RMSE=0.67, R²=-0.006
  CA_1_FOODS_2_074: MAE=2.14, RMSE=2.80, R²=-0.007
  CA_1_FOODS_2_075: MAE=1.43, RMSE=1.92, R²=0.286
  CA_1_FOODS_2_076: MAE=0.40, RMSE=0.53, R²=0.054
  CA_1_FOODS_2_077: MAE=0.60, RMSE=0.98, R²=0.180
  CA_1_FOODS_2_078: MAE=0.81, RMSE=0.99, R²=0.063
  CA_1_FOODS_2_079: MAE=0.67, RMSE=0.80, R²=0.007
  CA_1_FOODS_2_080: MAE=1.27, RMSE=2.09, R²=0.427
  CA_1_FOODS_2_081: MAE=1.38, RMSE=1.94, R²=0.184
  CA_1_FOODS_2_082: MAE=1.69, RMSE=2.16, R²=0.004
  CA_1_FOODS_2_083: MAE=0.91, RMSE=1.20, R²=0.103
  CA_1_FOODS_2_084: MAE=0.72, RMSE=0.87, R²=0.001
  CA_1_FOODS_2_085: MAE=0.78, RMSE=0.93, R²=-0.030
  CA_1_FOODS_2_086: MAE=1.31, RMSE=1.72, R²=-0.007
  CA_1_FOODS_2_087: MAE=0.33, RMSE=0.58, R²=0.076
  CA_1_FOODS_2_088: MAE=0.47, RMSE=0.60, R²=-0.066
  CA_1_FOODS_2_089: MAE=0.82, RMSE=1.01, R²=0.046
  CA_1_FOODS_2_090: MAE=0.44, RMSE=0.63, R²=0.008
  CA_1_FOODS_2_091: MAE=0.86, RMSE=1.19, R²=0.043
  CA_1_FOODS_2_092: MAE=0.80, RMSE=1.00, R²=-0.019
  CA_1_FOODS_2_093: MAE=0.75, RMSE=0.98, R²=0.114
  CA_1_FOODS_2_094: MAE=0.84, RMSE=1.33, R²=-0.031
  CA_1_FOODS_2_095: MAE=0.74, RMSE=0.86, R²=-0.043
  CA_1_FOODS_2_096: MAE=0.19, RMSE=0.30, R²=-0.018
  CA_1_FOODS_2_097: MAE=0.71, RMSE=0.91, R²=-0.041
  CA_1_FOODS_2_099: MAE=1.15, RMSE=1.38, R²=-0.176
  CA_1_FOODS_2_100: MAE=0.95, RMSE=1.28, R²=-0.000
  CA_1_FOODS_2_101: MAE=1.43, RMSE=1.85, R²=0.022
  CA_1_FOODS_2_102: MAE=0.95, RMSE=1.26, R²=0.057
  CA_1_FOODS_2_103: MAE=0.97, RMSE=1.26, R²=-0.001
  CA_1_FOODS_2_104: MAE=0.75, RMSE=0.93, R²=-0.124
  CA_1_FOODS_2_105: MAE=0.96, RMSE=1.33, R²=-0.017
  CA_1_FOODS_2_106: MAE=0.66, RMSE=0.74, R²=-0.069
  CA_1_FOODS_2_107: MAE=0.99, RMSE=1.33, R²=0.003
  CA_1_FOODS_2_108: MAE=0.82, RMSE=0.96, R²=-0.280
  CA_1_FOODS_2_109: MAE=1.30, RMSE=1.55, R²=-0.264
  CA_1_FOODS_2_110: MAE=1.37, RMSE=1.87, R²=-0.074
  CA_1_FOODS_2_111: MAE=0.44, RMSE=0.57, R²=0.003
  CA_1_FOODS_2_112: MAE=1.61, RMSE=1.91, R²=-0.250
  CA_1_FOODS_2_113: MAE=0.82, RMSE=1.28, R²=-0.029
  CA_1_FOODS_2_114: MAE=0.58, RMSE=0.70, R²=-0.013
